sitio 	edad	muertes
1	8.42	9
1	8.08	4
1	6.58	9
1	6.25	8
1	5.42	0
1	6	9
1	7.16	16
1	5.33	0
1	9.25	30
1	8	26
1	6.58	38
1	5.58	32
1	3.58	0
1	2.08	0
1	6	22
1	4.5	9
1	4.16	17
1	2.75	0
1	6	34
1	4.08	32
1	2.42	0
1	9.42	19
1	7.83	17
1	7.42	21
1	6	0
1	3.83	0
1	9.42	27
1	8.16	22
1	7.83	20
1	7.42	22
1	6	0
1	3.83	0
2	6.83	9
2	6.08	10
2	4.42	0
2	7.33	11
2	5.83	21
2	6.75	9
2	6	10
2	4.33	0
2	6.83	7
2	6.08	10
2	4.42	0
2	6.58	6
2	5.83	9
2	7.67	33
2	6.5	31
2	5.67	30
2	4.33	0
2	2.5	0
2	7.67	30
2	6.5	30
2	5.67	27
2	4.33	0
2	2.5	0
2	8.58	0
2	7.33	0
2	8.5	0
2	7.25	0
2	8.33	0
2	7.25	0
2	7.25	0
2	7.5	0
2	4.42	0
2	7.5	0
2	4.42	0
2	7.42	0
2	4.33	0
2	7.42	0
2	6	0
2	7.33	0
3	4.08	9
3	2.08	0
3	4.16	6
3	2.16	0
3	4.42	9
3	2.25	0
3	4.16	8
3	2	0
3	4.16	8
3	2	0
3	3.58	8
3	4.08	10
3	2.08	0
3	2.33	19
3	6.08	15
3	4.33	8
3	2.16	0
3	6	13
3	4.25	11
3	2.42	0
3	2.08	15
3	6.08	17
3	3.58	0
3	2.67	12
3	2.25	13
3	4.42	16
3	2.5	0
3	6.08	17
3	4.33	17
3	2.42	0
3	6	13
3	4.25	13
3	2.33	0
3	4.25	17
3	1.75	0
3	4.33	11
3	1.83	0
3	4.33	18
3	1.83	0
3	6	14
3	4.25	12
3	2.33	0
3	6	12
3	4.16	14
3	2.25	0
3	6.08	14
3	4.33	10
3	2.42	0
3	6	20
3	4.25	20
3	2.33	0
3	2.16	3
3	2.08	24
3	2.16	6
3	2.16	1
3	2.08	27
3	2.16	34
3	2.5	31
3	2.16	38
3	2	6
3	4	15
3	2.42	13
3	4.16	23
3	3.25	18
3	6	14
3	4.25	16
3	2.33	0
3	7.16	64
3	6.08	41
3	3.67	0
3	7.25	57
3	6.16	44
3	3.75	0
3	6.67	21
3	6	14
3	4.58	11
3	3.16	0
3	6.67	19
3	6	14
3	4.16	8
3	6.67	14
3	6	11
3	4.5	11
3	3.16	0
3	6.42	27
3	6	17
3	4.25	14
3	2.92	0
3	6.42	23
3	6	14
3	3.92	11
3	6.67	10
3	6	9
3	4.5	9
3	3.16	0
3	6.67	11
3	6	10
3	4.5	10
3	3.16	0
3	7.33	51
3	6.25	41
3	3.83	0
3	7.08	44
3	6	35
3	3.58	0
3	7.33	53
3	6.42	42
3	3.83	0
3	7.33	44
3	6.25	37
3	3.83	0
3	7.33	51
3	6.42	48
3	3.83	0
3	2.25	30
3	3.16	25
3	2.42	24
3	2.25	31
