bloque	trat	parc1	parc2
1	1	32	18
2	1	38	40
3	1	27	39
4	1	7	12
5	1	13	19
6	1	14	26
7	1	26	30
8	1	25	19
9	1	11	18
10	1	30	28
1	2	6	9
2	2	23	14
3	2	8	20
4	2	4	13
5	2	3	15
6	2	18	14
7	2	26	15
8	2	27	19
9	2	17	19
10	2	19	10
1	3	10	4
2	3	21	21
3	3	25	26
4	3	10	4
5	3	13	9
6	3	20	14
7	3	33	30
8	3	48	18
9	3	28	27
10	3	27	18
1	4	2	24
2	4	17	13
3	4	11	13
4	4	3	10
5	4	10	6
6	4	10	14
7	4	26	28
8	4	13	11
9	4	22	34
10	4	17	7
1	5	13	17
2	5	2	22
3	5	5	21
4	5	1	8
5	5	18	14
6	5	10	16
7	5	33	26
8	5	23	22
9	5	20	15
10	5	34	34
1	6	13	17
2	6	10	9
3	6	21	29
4	6	4	5
5	6	10	18
6	6	8	15
7	6	17	19
8	6	15	16
9	6	13	27
10	6	16	23
1	7	37	44
2	7	58	71
3	7	28	55
4	7	11	20
5	7	24	26
6	7	44	27
7	7	30	43
8	7	44	52
9	7	56	39
10	7	45	58
